,level_0,Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments,year,Stage,Group,index,home_goals,away_goals,penalties,home_wins,sign,year_range
0,37,Round of 16 | Leg 2,(Wed) 5 Nov 1986 (W44),Juventus › ITA (4),1-0 (*),1-0,Real Madrid CF › ESP (4),1-1 (agg.),1-0 (a.e.t.),1-3 (pen.),,1986,,,,1,3,True,0.0,-1.0,1985 - 2004
1,60,Semifinals | Leg 2,(Wed) 19 Apr 1972 (W16),Celtic FC › SCO (8),0-0 (*),0-0,Internazionale › ITA (8),0-0 (agg.),0-0 (a.e.t.),4-5 (pen.),,1971,,,,4,5,True,0.0,-1.0,1965 - 1984
2,18,Qual. Round 1 | Leg 2,(Wed) 19 Jul 2000 (W29),Shamkir › AZE (2),2-1 (*),0-0,Skonto › LVA (2),3-3 (agg.),4-1 (a.e.t.),,,2000,Qualifying,,,4,1,False,1.0,1.0,1985 - 2004
3,41,Qual. Round 2 | Leg 2,(Wed) 2 Aug 2000 (W31),FK Inter Bratislava › SVK (2),0-0 (*),0-0,Haka Valkeakoski › FIN (4),0-0 (agg.),1-0 (a.e.t.),,,2000,Qualifying,,,1,0,False,1.0,1.0,1985 - 2004
4,79,Qual. Round 3 | Leg 2,(Wed) 23 Aug 2000 (W34),Slavia Praha › CZE (4),0-1 (*),0-0,Shakhtar Donetsk › UKR (4),1-1 (agg.),0-2 (a.e.t.),,,2000,Qualifying,,,0,2,False,0.0,-1.0,1985 - 2004
5,33,Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Dynamo Dresden › GER (2),2-0 (*),1-0,Partizan Belgrade › SRB (2),2-2 (agg.),2-0 (a.e.t.),5-4 (pen.),,1978,,,,5,4,True,1.0,1.0,1965 - 1984
6,35,Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),AS Saint-Etienne › FRA (4),4-1 (*),1-0,Hajduk Split › CRO (4),5-5 (agg.),5-1 (a.e.t.),,,1974,,,,5,1,False,1.0,1.0,1965 - 1984
7,40,Round of 16 | Leg 2,(Wed) 7 Nov 1990 (W45),Spartak Moskva › RUS (4),0-0 (*),0-0,SSC Napoli › ITA (4),0-0 (agg.),0-0 (a.e.t.),5-3 (pen.),,1990,,,,5,3,True,1.0,1.0,1985 - 2004
8,41,Round of 16 | Leg 2,(Wed) 7 Nov 1990 (W45),Malmo FF › SWE (4),1-1 (*),0-1,Dynamo Dresden › GER (4),2-2 (agg.),1-1 (a.e.t.),4-5 (pen.),,1990,,,,4,5,True,0.0,-1.0,1985 - 2004
9,16,Qual. Round 1 | Leg 2,(Wed) 20 Jul 2005 (W29),HSK Zrinjski Mostar › BIH (2),0-1 (*),0-0,F91 Dudelange › LUX (2),1-1 (agg.),0-4 (a.e.t.),,,2005,Qualifying,,,0,4,False,0.0,-1.0,2005 - 2018
